Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,145.000000,147.000000,144.000000,147.000000,147.000000,2061300
2022-06-02,146.000000,147.000000,144.000000,145.000000,145.000000,5427000
2022-06-03,146.000000,147.000000,143.000000,147.000000,147.000000,2451500
2022-06-06,148.000000,148.000000,145.000000,148.000000,148.000000,5747000
2022-06-07,148.000000,148.000000,146.000000,148.000000,148.000000,3604200
2022-06-08,148.000000,148.000000,146.000000,147.000000,147.000000,1591300
2022-06-09,148.000000,148.000000,146.000000,147.000000,147.000000,4903500
2022-06-10,146.000000,147.000000,146.000000,147.000000,147.000000,3623800
2022-06-13,146.000000,147.000000,145.000000,146.000000,146.000000,7642100
2022-06-14,147.000000,159.000000,146.000000,158.000000,158.000000,25322800
2022-06-15,158.000000,159.000000,150.000000,152.000000,152.000000,11072600
2022-06-16,152.000000,155.000000,150.000000,155.000000,155.000000,6339800
2022-06-17,155.000000,155.000000,151.000000,152.000000,152.000000,2209200
2022-06-20,152.000000,154.000000,149.000000,152.000000,152.000000,4777100
2022-06-21,153.000000,153.000000,149.000000,151.000000,151.000000,6815100
2022-06-22,151.000000,152.000000,149.000000,150.000000,150.000000,5390800
2022-06-23,152.000000,152.000000,149.000000,152.000000,152.000000,5192300
2022-06-24,152.000000,152.000000,150.000000,151.000000,151.000000,3248100
2022-06-27,151.000000,153.000000,149.000000,151.000000,151.000000,2758300
2022-06-28,151.000000,152.000000,150.000000,151.000000,151.000000,2089700
2022-06-29,151.000000,151.000000,146.000000,148.000000,148.000000,5336200
2022-06-30,148.000000,148.000000,141.000000,143.000000,143.000000,11124000
2022-07-01,143.000000,145.000000,142.000000,144.000000,144.000000,2716400
2022-07-04,144.000000,145.000000,141.000000,144.000000,144.000000,3204800
2022-07-05,144.000000,146.000000,143.000000,146.000000,146.000000,1399200
2022-07-06,146.000000,146.000000,144.000000,145.000000,145.000000,4419800
2022-07-07,145.000000,146.000000,144.000000,145.000000,145.000000,13517900
2022-07-08,145.000000,146.000000,143.000000,146.000000,146.000000,1047600
2022-07-11,146.000000,146.000000,143.000000,146.000000,146.000000,2018700
2022-07-12,145.000000,147.000000,144.000000,147.000000,147.000000,5936700
2022-07-13,147.000000,148.000000,145.000000,145.000000,145.000000,6877800
2022-07-14,145.000000,147.000000,145.000000,147.000000,147.000000,7521000
2022-07-15,147.000000,148.000000,145.000000,148.000000,148.000000,7010200
2022-07-18,148.000000,148.000000,145.000000,148.000000,148.000000,1679800
2022-07-19,148.000000,148.000000,146.000000,147.000000,147.000000,2574200
2022-07-20,147.000000,148.000000,145.000000,148.000000,148.000000,2343800
2022-07-21,148.000000,149.000000,146.000000,149.000000,149.000000,1908600
2022-07-22,148.000000,149.000000,147.000000,149.000000,149.000000,1219300
2022-07-25,147.000000,149.000000,145.000000,149.000000,149.000000,855800
2022-07-26,149.000000,149.000000,145.000000,145.000000,145.000000,1368700
2022-07-27,145.000000,148.000000,145.000000,148.000000,148.000000,1421700
2022-07-28,148.000000,148.000000,145.000000,148.000000,148.000000,1831300
2022-07-29,148.000000,148.000000,145.000000,148.000000,148.000000,3644200
2022-08-01,148.000000,149.000000,147.000000,148.000000,148.000000,3690300
2022-08-02,148.000000,148.000000,147.000000,148.000000,148.000000,1117500
2022-08-03,147.000000,148.000000,146.000000,148.000000,148.000000,2213000
2022-08-04,147.000000,148.000000,146.000000,148.000000,148.000000,1433800
2022-08-05,148.000000,148.000000,146.000000,148.000000,148.000000,1426400
2022-08-08,148.000000,150.000000,147.000000,149.000000,149.000000,6223000
2022-08-09,150.000000,151.000000,147.000000,148.000000,148.000000,3833300
2022-08-10,150.000000,150.000000,147.000000,149.000000,149.000000,4900400
2022-08-11,149.000000,198.000000,148.000000,195.000000,195.000000,133479900
2022-08-12,204.000000,204.000000,182.000000,189.000000,189.000000,51305500
2022-08-15,189.000000,208.000000,189.000000,200.000000,200.000000,94111100
2022-08-16,210.000000,226.000000,202.000000,206.000000,206.000000,371894500
2022-08-18,210.000000,214.000000,200.000000,202.000000,202.000000,68260700
2022-08-19,208.000000,208.000000,195.000000,197.000000,197.000000,47482800
2022-08-22,199.000000,199.000000,185.000000,185.000000,185.000000,42822900
2022-08-23,183.000000,187.000000,176.000000,177.000000,177.000000,63038300
