Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
13/12/2019;590;3990;21175;290;8245
16/12/2019;585;3970;22000;300;8180
17/12/2019;585;3980;22375;292;8195
18/12/2019;590;3990;21800;288;8185
19/12/2019;585;3900;21725;284;8140
20/12/2019;585;4020;21250;288;8325
23/12/2019;585;4020;21200;304;8330
26/12/2019;580;4000;21625;302;8490
27/12/2019;585;3990;21675;308;8560
30/12/2019;585;3970;21525;260;8400
02/01/2020;580;3910;21500;312;8550
03/01/2020;580;3980;21275;310;8575
06/01/2020;560;3960;21575;304;8475
07/01/2020;570;3940;21250;308;8450
08/01/2020;560;3900;21550;306;8325
09/01/2020;555;3960;21325;322;8350
10/01/2020;560;3980;22250;308;8250
13/01/2020;560;4030;23050;294;8400
14/01/2020;555;3950;22700;296;8475
15/01/2020;540;3880;22000;298;8475
16/01/2020;565;3850;21900;296;8425
17/01/2020;555;3810;21775;300;8400
20/01/2020;550;3810;21500;300;8325
21/01/2020;540;3890;21075;298;8325
22/01/2020;540;3860;20600;304;8300
23/01/2020;530;3880;20350;304;8325
24/01/2020;510;3920;20200;304;8175
27/01/2020;496;3840;19925;300;8275
28/01/2020;494;3830;19875;302;8250
29/01/2020;505;3900;20025;310;8250
30/01/2020;496;3860;19975;302;8225
31/01/2020;494;3800;19200;292;7950
03/02/2020;486;3740;19075;292;7850
04/02/2020;484;3760;18775;292;7875
05/02/2020;492;3770;18750;280;8100
06/02/2020;494;3760;18700;284;7950
07/02/2020;492;3790;18800;284;7900
10/02/2020;482;3810;18275;282;7875
11/02/2020;480;3790;18025;284;7850
12/02/2020;480;3820;17700;282;7600
13/02/2020;466;3730;17625;280;7400
14/02/2020;456;3640;18325;280;7475
17/02/2020;458;3610;18350;282;7400
18/02/2020;474;3620;18350;282;7400
19/02/2020;484;3620;18475;280;7475
20/02/2020;482;3630;18425;276;7650
21/02/2020;474;3690;18225;274;7500
24/02/2020;460;3640;17900;272;7225
25/02/2020;454;3590;18275;272;7300
26/02/2020;432;3510;18000;270;7300
27/02/2020;418;3470;17575;264;7150
28/02/2020;392;3490;16600;254;6825
02/03/2020;388;3440;16675;252;6900
03/03/2020;402;3620;17650;252;7125
04/03/2020;408;3830;18500;248;7425
05/03/2020;420;3830;18025;246;7400
06/03/2020;404;3750;17300;246;7450
09/03/2020;368;3500;15800;242;7025
10/03/2020;370;3490;16525;242;7100
11/03/2020;364;3400;16300;238;7300
12/03/2020;328;3310;15200;218;7225
13/03/2020;328;3310;15200;218;7225
16/03/2020;306;3160;14525;212;6975
17/03/2020;286;2940;13525;200;6500
18/03/2020;266;2810;13400;186;6050
19/03/2020;248;2620;12600;180;5650
20/03/2020;260;2880;14850;200;6225
23/03/2020;244;2680;13825;199;5800
24/03/2020;248;2620;13975;200;5675
26/03/2020;292;2980;15025;224;6775
27/03/2020;310;3090;15500;238;6800
30/03/2020;294;3140;14425;250;6425
31/03/2020;296;3160;16900;250;7250
01/04/2020;290;3100;16625;258;7150
02/04/2020;300;3130;16900;250;7225
03/04/2020;324;3200;17150;248;7100
06/04/2020;358;3330;18000;250;7300
07/04/2020;356;3220;17600;246;7275
08/04/2020;332;3110;17500;250;7125
09/04/2020;346;3120;17125;250;7250
13/04/2020;360;3180;17550;240;7100
14/04/2020;358;3240;18250;240;7150
15/04/2020;342;3110;17725;240;6975
16/04/2020;330;3000;16625;238;6650
17/04/2020;340;3230;17325;238;6875
20/04/2020;334;3120;17300;240;7000
21/04/2020;316;3070;16400;236;6925
22/04/2020;326;3160;16250;236;7100
23/04/2020;328;3070;16200;236;7500
24/04/2020;310;3090;16225;234;7500
27/04/2020;310;3150;16400;238;7500
28/04/2020;314;3160;15550;228;7850
29/04/2020;324;3350;15600;238;8000
30/04/2020;338;3500;16300;224;8275
04/05/2020;326;3320;15525;226;7925
05/05/2020;330;3320;15200;222;8300
06/05/2020;330;3240;15300;232;8100
08/05/2020;332;3190;15825;230;8050
11/05/2020;396;3220;15725;222;8075
12/05/2020;370;3150;15500;228;8175
13/05/2020;356;3160;15275;220;8250
14/05/2020;352;3070;15000;220;8300
15/05/2020;352;3100;14250;220;8575
18/05/2020;350;3220;14150;220;8475
19/05/2020;382;3270;14500;228;8250
20/05/2020;366;3180;14600;222;8050
26/05/2020;372;3250;15075;218;8150
27/05/2020;380;3170;14950;216;8200
28/05/2020;366;3130;15100;216;8025
29/05/2020;354;3150;15700;212;7750
02/06/2020;364;3250;16375;214;8100
03/06/2020;374;3290;17075;220;8225
04/06/2020;382;3300;17000;220;8175
05/06/2020;388;3230;17100;222;8050
08/06/2020;412;3230;17550;230;8200
09/06/2020;406;3140;17775;216;8300
10/06/2020;400;3110;17225;214;8200
11/06/2020;386;3080;16450;216;8200
12/06/2020;378;3030;16450;212;8200
15/06/2020;374;3090;16125;204;8275
16/06/2020;384;3200;16950;200;8275
17/06/2020;400;3210;17700;202;8275
18/06/2020;400;3280;17650;198;8050
19/06/2020;396;3280;17850;198;8050
22/06/2020;390;3200;16900;194;8050
23/06/2020;378;3130;16575;194;8000
24/06/2020;384;3180;16725;194;8075
25/06/2020;376;3160;16475;191;7900
26/06/2020;380;3190;16475;190;7900
29/06/2020;376;3180;16700;190;7925
30/06/2020;384;3050;16550;188;7900
01/07/2020;380;3040;17000;189;7800
02/07/2020;372;3140;17150;190;8050
03/07/2020;376;3120;17150;189;7900
06/07/2020;382;3050;17225;187;7900
07/07/2020;380;3120;17325;183;7925
08/07/2020;380;3150;18450;184;8100
09/07/2020;390;3110;18450;183;7975
10/07/2020;402;3110;17925;182;7925
